Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Santiago,Unidad Popular,PS,"('Carlos', 'Altamirano', 'Orrego')",234232,16.57,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Altamirano_Orrego
Santiago,Unidad Popular,PC,"('Volodia', 'Teitelboim', 'Volosky')",243891,17.26,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Volodia_Teitelboim_Volosky
O'Higgins y Colchagua,Confederación de la Democracia,PDC,"('Ricardo', 'Valenzuela', 'Sáez')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Valenzuela_Saéz
O'Higgins y Colchagua,Confederación de la Democracia,PDC,"('Rafael', 'Adolfo', 'Moreno', 'Rojas')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Adolfo_Moreno_Rojas
O'Higgins y Colchagua,Confederación de la Democracia,PN,"('Víctor', 'Joaquín', 'García', 'Garzena')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Joaquín_García_Garzena
O'Higgins y Colchagua,Unidad Popular,PR,"('Vladimir', 'Anselmo', 'Sule', 'Candia')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vladimir_Anselmo_Sule_Candia
O'Higgins y Colchagua,Unidad Popular,PS,"('María', 'Elena', 'Carrera', 'Villavicencio')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Elena_Carrera_Villavicencio
"Curicó, Talca, Maule y Linares",Confederación de la Democracia,PN,"('Sergio', 'Eduardo', 'de Praga', 'Diez', 'Urzúa')",59503,24.76,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Eduardo_de_Praga_Diez_Urzúa
"Curicó, Talca, Maule y Linares",Confederación de la Democracia,PDC,"('José', 'Antonio', 'Foncea', 'Aedo')",16190,6.74,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Foncea_Aedo
"Curicó, Talca, Maule y Linares",Confederación de la Democracia,PDC,"('Patricio', 'Aylwin', 'Azócar')",35541,14.79,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Aylwin_Azócar
"Curicó, Talca, Maule y Linares",Unidad Popular,PS,"('Álvaro', 'Erich', 'Schnake', 'Silva')",53483,22.26,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alvaro_Erich_Schnake_Silva
"Curicó, Talca, Maule y Linares",Unidad Popular,PC,"('Alejandro', 'Enrique', 'Toro', 'Herrera')",42770,17.8,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Enrique_Toro_Herrera
"Ñuble, Concepción y Arauco",Confederación de la Democracia,PDC,"('Tomás', 'Pablo', 'Elorza')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tomás_Pablo_Elorza
"Ñuble, Concepción y Arauco",Confederación de la Democracia,PDC,"('Alberto', 'Jorge', 'Jerez', 'Horta')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Jorge_Jerez_Horta
"Ñuble, Concepción y Arauco",Confederación de la Democracia,PN,"('Francisco', 'Bulnes', 'Sanfuentes')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Bulnes_Sanfuentes
"Ñuble, Concepción y Arauco",Unidad Popular,PR,"('Humberto', 'Aguirre', 'Doolan')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Humberto_Aguirre_Doolan
"Ñuble, Concepción y Arauco",Unidad Popular,PC,"('Jorge', 'Antonio', 'Montes', 'Moraga')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Antonio_Montes_Moraga
"Bío-Bío, Malleco y Cautín",Confederación de la Democracia,PDC,"('Jorge', 'Exequiel', 'Lavandero', 'Illanes')",46772,17.13,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Exequiel_Lavandero_Illanes
"Bío-Bío, Malleco y Cautín",Confederación de la Democracia,PDC,"('Tulio', 'Renán', 'Fuentealba', 'Moena')",37882,13.87,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tulio_Renán_Fuentealba_Moena
"Bío-Bío, Malleco y Cautín",Confederación de la Democracia,PN,"('Patricio', 'Phillips', 'Peñafiel')",42348,15.51,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Phillips_Peñafiel
"Bío-Bío, Malleco y Cautín",Unidad Popular,PC,"('Ernesto', 'Araneda', 'Briones')",35801,13.11,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ernesto_Segundo_Araneda_Briones
"Bío-Bío, Malleco y Cautín",Unidad Popular,PS,"('Jaime', 'Suárez', 'Bastidas')",45825,16.78,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_León_Suárez_Bastidas
"Valdivia, Osorno y Llanquihue",Confederación de la Democracia,PDC,"('Luis', 'Papic', 'Ramos')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Papic_Ramos
"Valdivia, Osorno y Llanquihue",Confederación de la Democracia,PDC,"('Narciso', 'Irureta', 'Aburto')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Narciso_Irureta_Aburto
"Valdivia, Osorno y Llanquihue",Confederación de la Democracia,PN,"('Julio', 'Ernesto', 'von Mühlenbrock', 'Lira')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Ernesto_Von_Muhlenbrock_Lira
"Valdivia, Osorno y Llanquihue",Unidad Popular,PS,"('Aniceto', 'Rodríguez', 'Arenas')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aniceto_Rodríguez_Arenas
"Valdivia, Osorno y Llanquihue",Unidad Popular,PR,"('Américo', 'Arturo', 'Acuña', 'Rosas')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Américo_Arturo_Acuña_Rosas
"Chiloé, Aysén y Magallanes",Confederación de la Democracia,PDC,"('Alfredo', 'Macario', 'Lorca', 'Valencia')",13491,15.15,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfredo_Macario_Lorca_Valencia
"Chiloé, Aysén y Magallanes",Confederación de la Democracia,PDC,"('Juan', 'Patricio', 'José', 'Hamilton', 'Depassier')",16130,18.12,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Patricio_José_Hamilton_Depassier
"Chiloé, Aysén y Magallanes",Confederación de la Democracia,PN,"('Fernando', 'Ochagavía', 'Valdés')",11418,12.82,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Ochagavía_Valdés
"Chiloé, Aysén y Magallanes",Unidad Popular,PC,"('Luis', 'Godoy', 'Gómez')",10996,12.35,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Godoy_Gómez
"Chiloé, Aysén y Magallanes",Unidad Popular,PS,"('Adonis', 'Sepúlveda', 'Acuña')",20416,22.93,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Adonis_Ramón_Sepúlveda_Acuña
